ACARA School ID,AGE ID,School Name,Suburb,State,Postcode,Region,Cluster,Cluster Hub,Distance from Cluster 'hub',Driving Time from Cluster 'hub' (Min),Distance from CBD,Driving Time from CBD (Min),Latitude,Longitude,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Year Range,Geolocation,TFA Eligible school,ICSEA,Bottom SEA Quarter,Lower Middle SEA Quarter,Upper Middle SEA Quarter,Top SEA Quarter,Teaching Staff,FTE Teaching Staff,Non-Teaching Staff,FTE Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Enrolment change from 2016,Indigenous Enrolments,Language Background Other Than English,NAPLAN numeracy comparison to national average Yr 9,NAPLAN reading comparison to national average Yr 9,% Students at University,% Students at TAFE,% Students in Employment,C2010 placements,C2010,C2011 placements,C2011,C2012 placements,C2012,C2013 placements,C2013,C2014 placements,C2014,C2015 placements,C2015,C2016 placements,C2016,C2017 placements,C2017,C2018 placements,C2018,Total placements,Current TFA partner school,TFA placement school,2018 PAN member,TLA,TTL school,Alumni at school,Duplicates
1,3,obfuscated_1,obfuscated_1,TAS,7018,,,,,,,,-43.31756067,147.2460519,Catholic,Primary,School Single Entity,Individual Reporting,http://www.corpuschristi.tas.edu.au,Prep-6,Inner Regional,,1063,10,27,33,31,29,20.4,16,9.4,399,194,205,399,0%,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,obfuscated_2,obfuscated_2,TAS,7005,,,,,,,,-43.31008295,147.0130337,Independent,Combined,School Single Entity,Individual Reporting,http://www.fahan.tas.edu.au,Prep-12,Inner Regional,,1130,4,11,26,59,40,33.3,29,21.7,372,372,0,372,1%,1,7,Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,obfuscated_3,obfuscated_3,TAS,7307,,,,,,,,-43.165474,146.943967,Independent,Combined,School Single Entity,Individual Reporting,http://www.geneva.tas.edu.au,Prep-12,Outer Regional,Yes,969,34,40,22,5,20,14.5,34,20.8,194,78,116,194,13%,8,4,Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,obfuscated_4,obfuscated_4,TAS,7011,,,,,,,,-43.164652,147.239683,Catholic,Primary,School Single Entity,Individual Reporting,http://www.holyrosary.tas.edu.au,Prep-6,Inner Regional,,987,31,40,23,7,28,21.9,23,11,397,179,218,397,1%,4,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,obfuscated_5,obfuscated_5,TAS,7008,,,,,,,,-43.16224412,146.9221263,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ihms.tas.edu.au,Prep-6,Inner Regional,,1006,24,32,26,18,14,9.6,12,5.3,189,94,95,189,12%,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,obfuscated_6,obfuscated_6,TAS,7250,,,,,,,,-43.161812,147.075798,Independent,Combined,School Single Entity,Individual Reporting,http://www.jcs.tas.edu.au,Prep-10,Inner Regional,,1053,13,33,30,25,12,9.1,9,4,100,46,54,100,-2%,0,0,Substantially Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,obfuscated_7,obfuscated_7,TAS,7250,,,,,,,,-43.15825931,147.0722396,Catholic,Primary,School Single Entity,Individual Reporting,http://www.larmenier.com,Prep-6,Inner Regional,,1006,26,35,23,16,13,9.9,11,4.8,172,90,82,172,1%,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,obfuscated_8,obfuscated_8,TAS,7248,,,,,,,,-43.141636,147.152841,Independent,Combined,School Head Campus,Rolled Reporting,http://www.lcgs.tas.edu.au,Prep-12,Inner Regional,,1108,5,16,29,50,88,76.4,56,43.2,743,358,385,743,3%,2,7,Above,Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,obfuscated_9,obfuscated_9,TAS,7112,,,,,,,,-43.09833639,147.7470655,Catholic,Combined,School Single Entity,Individual Reporting,http://www.sjcc.tas.edu.au,Prep-10,Outer Regional,Yes,897,46,35,16,4,32,22.1,16,7.5,239,103,136,239,6%,36,0,Substantially Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,obfuscated_10,obfuscated_10,TAS,7310,,,,,,,,-43.08553093,147.0118557,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ololtas.com.au,Prep-6,Inner Regional,,1023,22,26,28,25,26,21.4,26,12.3,407,205,202,407,0%,9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,obfuscated_11,obfuscated_11,TAS,7304,,,,,,,,-43.06533258,147.2542694,Catholic,Primary,School Single Entity,Individual Reporting,http://www.olom.tas.edu.au,Prep-6,Outer Regional,,1002,29,29,25,16,11,8,12,4.6,106,49,57,106,-1%,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,obfuscated_12,obfuscated_12,TAS,7315,,,,,,,,-43.028852,147.262095,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shu.tas.edu.au,Prep-6,Outer Regional,,1002,22,32,27,19,18,13.7,19,9.8,239,118,121,239,-7%,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23,obfuscated_13,obfuscated_13,TAS,7116,,,,,,,,-43.02813851,146.962378,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shg.tas.edu.au,Prep-6,Outer Regional,,962,35,30,22,13,14,9.4,13,7.6,150,81,69,150,1%,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,26,obfuscated_14,obfuscated_14,TAS,7250,,,,,,,,-43.027034,147.271393,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stanthonys.tas.edu.au,Prep-6,Inner Regional,,989,33,29,26,12,14,9.6,11,4.5,168,80,88,168,-7%,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,27,obfuscated_15,obfuscated_15,TAS,7330,,,,,,,,-43.02586187,147.420197,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpeterchanelsmithton.com,Prep-6,Outer Regional,,899,44,34,17,5,12,10.5,15,7.1,178,84,94,178,-6%,40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29,obfuscated_16,obfuscated_16,TAS,7140,,,,,,,,-43.02374508,147.0469488,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbrigidsnn.tas.edu.au,Prep-6,Inner Regional,,994,35,30,22,12,15,11.8,13,4.7,176,82,94,176,-8%,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30,obfuscated_17,obfuscated_17,TAS,7325,,,,,,,,-43.02374508,147.0469488,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sbw.tas.edu.au,Prep-6,Outer Regional,,980,29,33,25,14,16,10.4,10,4.4,128,57,71,128,-5%,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,31,obfuscated_18,obfuscated_18,TAS,7015,,,,,,,,-43.0086344,147.3193779,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stcuthberts.tas.edu.au,Prep-6,Inner Regional,,1026,18,33,29,20,17,14.1,12,5.4,254,129,125,254,6%,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,36,obfuscated_19,obfuscated_19,TAS,7025,,,,,,,,-42.997854,147.289813,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjohns.tas.edu.au,Prep-6,Outer Regional,,1039,15,32,30,24,23,16,17,6.5,288,142,146,288,-1%,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38,obfuscated_20,obfuscated_20,TAS,7470,,,,,,,,-42.997539,147.289506,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsr.tas.edu.au,Prep-6,Remote,,994,29,29,23,20,7,5.9,8,3.8,69,28,41,69,-4%,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,39,obfuscated_21,obfuscated_21,TAS,7467,,,,,,,,-42.99699352,147.3212642,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsq.tas.edu.au,Prep-6,Remote,,983,32,34,20,15,10,8.1,10,4.2,94,46,48,93.5,-13%,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,40,obfuscated_22,obfuscated_22,TAS,7000,,,,,,,,-42.990905,147.307777,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Prep-12,Inner Regional,,1063,12,24,33,31,88,66.8,44,32.1,890,831,59,890,3%,1,4,Below,Close to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,45,obfuscated_23,obfuscated_23,TAS,7307,,,,,,,,-42.97993089,147.3050204,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpatslatrobe.tas.edu.au,Prep-6,Outer Regional,,986,34,29,25,11,17,10.2,12,3.7,145,57,88,144.8,5%,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,47,obfuscated_24,obfuscated_24,TAS,7009,,,,,,,,-42.97934878,147.3099185,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sttherese.tas.edu.au,Prep-6,Inner Regional,,1015,19,34,32,15,16,11.4,11,6.1,196,103,93,196,-2%,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,55,obfuscated_25,obfuscated_25,TAS,7009,,,,,,,,-42.97371542,147.3081315,Independent,Combined,School Single Entity,Individual Reporting,http://hilliard.adventist.edu.au/,Prep-10,Inner Regional,,948,48,30,17,6,14,9.1,8,4,99,40,59,99,-8%,8,28,Substantially Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,56,obfuscated_26,obfuscated_26,TAS,7253,,,,,,,,-42.94315177,147.3527989,Catholic,Combined,School Single Entity,Individual Reporting,http://www.starsea.tas.edu.au/,Prep-10,Outer Regional,,959,48,31,15,6,19,15.2,17,8,144,76,68,144,1%,2,12,Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,58,obfuscated_27,obfuscated_27,TAS,7320,,,,,,,,-42.9429624,147.3549237,Catholic,Primary,School Single Entity,Individual Reporting,http://stellamaris.tas.edu.au,Prep-6,Outer Regional,,1034,17,31,26,26,26,19.6,21,11.4,383,173,210,383,2%,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,59,obfuscated_28,obfuscated_28,TAS,7000,,,,,,,,-42.917107,147.318165,Independent,Combined,School Head Campus,Rolled Reporting,http://www.friends.tas.edu.au,Prep-12,Inner Regional,,1149,2,8,21,70,153,122.7,90,68.9,1237,608,629,1237,0%,1,10,Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,60,obfuscated_29,obfuscated_29,TAS,7005,,,,,,,,-42.91615827,147.3527644,Independent,Combined,School Single Entity,Individual Reporting,http://www.hutchins.tas.edu.au,Prep-12,Inner Regional,,1136,2,11,26,61,113,107.8,56,46.6,1003,0,1003,1003,0%,1,7,Substantially Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2261,obfuscated_30,obfuscated_30,TAS,7018,,,,,,,,-42.91290931,147.3223708,Independent,Primary,School Single Entity,Individual Reporting,http://www.cottageschool.tas.edu.au,Prep-6,Inner Regional,,1108,2,18,33,47,12,7.5,7,3.8,64,25,39,64,-9%,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2801,obfuscated_31,obfuscated_31,TAS,7250,,,,,,,,-42.90961521,147.3493787,Independent,Combined,School Single Entity,Individual Reporting,http://www.lcs.tas.edu.au,Prep-12,Inner Regional,,1054,16,28,28,29,50,46.5,40,24.4,621,303,318,620.8,0%,1,9,Above,Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2802,obfuscated_32,obfuscated_32,TAS,7315,,,,,,,,-42.90892029,147.3369141,Independent,Combined,School Head Campus,Rolled Reporting,http://www.leighland.tas.edu.au,Prep-12,Outer Regional,Yes,993,31,29,23,17,52,41.7,53,20.4,512,242,270,510.1,-3%,9,3,Close to,Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2803,obfuscated_33,obfuscated_33,TAS,7316,,,,,,,,-42.905952,147.330242,Independent,Combined,School Single Entity,Individual Reporting,http://northwest.adventist.edu.au,Prep-10,Outer Regional,,920,53,24,16,7,8,7.1,5,2.6,53,31,22,53,-23%,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2805,obfuscated_34,obfuscated_34,TAS,7000,,,,,,,,-42.905072,147.47854,Independent,Combined,School Head Campus,Rolled Reporting,http://www.collegiate.tas.edu.au,Prep-12,Inner Regional,,1135,3,11,25,61,74,62.9,55,42.8,660,660,0,660,-1%,3,9,Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2809,obfuscated_35,obfuscated_35,TAS,7250,,,,,,,,-42.901946,147.33217,Independent,Combined,School Head Campus,Rolled Reporting,http://www.soc.tas.edu.au,Prep-12,Inner Regional,,1115,4,15,29,52,130,97.1,107,67.6,952,480,472,952,-1%,1,6,Substantially Above,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2816,obfuscated_36,obfuscated_36,TAS,7019,,,,,,,,-42.90075556,147.4385796,Catholic,Primary,School Single Entity,Individual Reporting,http://www.johnpaul.tas.edu.au,Prep-6,Inner Regional,,917,54,26,16,4,17,10.8,19,8.4,127,49,78,126.4,-5%,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2818,obfuscated_37,obfuscated_37,TAS,7250,,,,,,,,-42.89924147,147.3184045,Independent,Primary,School Single Entity,Individual Reporting,http://www.lps.tas.edu.au,Prep-6,Inner Regional,,1119,1,16,30,53,11,9,7,3,111,50,61,111,2%,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2819,obfuscated_38,obfuscated_38,TAS,7018,,,,,,,,-42.89897973,147.4337238,Independent,Combined,School Single Entity,Individual Reporting,http://www.elc.tas.edu.au,Prep-10,Inner Regional,Yes,968,38,28,24,11,23,18.4,20,12.1,209,102,107,209,24%,12,1,Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4213,obfuscated_39,obfuscated_39,TAS,7250,,,,,,,,-42.89719843,147.4450042,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stm.tas.edu.au,Prep-6,Inner Regional,,1069,10,25,34,31,28,20.3,16,7.3,307,157,150,306.2,3%,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4505,obfuscated_40,obfuscated_40,TAS,7030,,,,,,,,-42.8945,147.447,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpauls.tas.edu.au,Prep-6,Inner Regional,,917,54,32,12,1,13,10.6,13,8.2,175,85,90,174.8,5%,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5272,obfuscated_41,obfuscated_41,TAS,7330,,,,,,,,-42.891817,147.309568,Independent,Combined,School Single Entity,Individual Reporting,http://www.chcs.tas.edu.au,Prep-12,Outer Regional,Yes,914,43,34,18,6,28,24.5,30,21.5,301,139,162,300.2,-7%,30,1,Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5918,obfuscated_42,obfuscated_42,TAS,7050,,,,,,,,-42.89123278,147.325883,Independent,Combined,School Single Entity,Individual Reporting,http://www.scc.tas.edu.au,Prep-12,Inner Regional,,1044,15,29,27,29,42,29.8,25,14.1,331,150,181,331,22%,6,13,Close to,Substantially Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6592,obfuscated_43,obfuscated_43,TAS,7248,,,,,,,,-42.888185,147.323435,Government,Secondary,School Single Entity,Individual Reporting,http://brookshigh.education.tas.edu.au/Pages/Home.aspx,7-Oct,Inner Regional,Yes,889,71,20,7,1,38,34,27,18.5,431,231,200,431,-6%,11,16,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,6593,obfuscated_44,obfuscated_44,TAS,7255,,,,,,,,-42.88779991,147.316925,Government,Combined,School Single Entity,Individual Reporting,https://education.tas.edu.au/flindersislanddistricthigh/Pages/Home.aspx,K-12,Very Remote,,948,34,25,23,17,12,9.6,17,8.5,96,41,55,90.4,9%,25,3,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6595,obfuscated_45,obfuscated_45,TAS,7268,,,,,,,,-42.88738509,147.4443949,Government,Combined,School Single Entity,Individual Reporting,https://education.tas.edu.au/lilydale/Pages/default.aspx,K-12,Outer Regional,Yes,935,50,32,14,4,34,30,19,11.9,381,189,192,352.9,0%,10,1,Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6596,obfuscated_46,obfuscated_46,TAS,7250,,,,,,,,-42.88518675,147.8121586,Government,Primary,School Single Entity,Individual Reporting,http://education.tas.edu.au/ravenswoodheightsprimary/,K-6,Inner Regional,,851,80,16,4,0,29,22.6,24,15.3,317,148,169,303,5%,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6597,obfuscated_47,obfuscated_47,TAS,7260,North East,Launceston,Launceston,67,60,255,203,-42.882125,147.30871,Government,Secondary,School Single Entity,Individual Reporting,http://www.scottsdalehigh.tas.edu.au/,7-Dec,Outer Regional,Yes,930,58,28,12,2,28,25,17,14.5,287,139,148,286.3,-4%,6,1,Substantially Below,Below,,,,,,,,,,,,,,,,,,,,2,C2018,2,Yes,Yes,,Ani Havlat,,,
48,6600,obfuscated_48,obfuscated_48,TAS,7320,,,,,,,,-42.881231,147.319127,Government,Secondary,School Single Entity,Individual Reporting,http://education.tas.edu.au/parklandshigh/default.aspx,7-Oct,Outer Regional,Yes,870,72,21,6,1,30,26.9,20,16.3,349,186,163,349,-8%,20,1,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6601,obfuscated_49,obfuscated_49,TAS,7310,North West,Devonport,Devonport,2,4,279,195,-42.88107919,147.4021105,Government,Secondary,School Single Entity,Individual Reporting,http://www.reece.tased.edu.au/,7-Nov,Inner Regional,Yes,905,62,25,10,3,44,35.6,24,17.9,428,208,220,428,-10%,16,2,Substantially Below,Below,,,,,,,,,,,,,,,,,,1,C2017,,,1,Yes,Yes,,Ani Havlat,,,
50,6602,obfuscated_50,obfuscated_50,TAS,7315,North West,Devonport,Devonport,20,16,299,207,-42.877901,147.3892403,Government,Secondary,School Single Entity,Individual Reporting,http://www.ulverstonehigh.tas.edu.au/,7-Dec,Outer Regional,Yes,909,58,28,11,4,45,38.4,26,20.7,498,247,251,489,14%,17,1,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,2,C2017,3,C2018,5,Yes,Yes,Yes,Ani Havlat,,,
51,6603,obfuscated_51,obfuscated_51,TAS,7325,,,,,,,,-42.87760164,147.3177552,Government,Secondary,School Single Entity,Individual Reporting,http://education.tas.edu.au/wynyardhigh/SitePages/Home.aspx,7-Oct,Outer Regional,Yes,922,53,32,10,4,24,20.7,20,15.6,237,107,130,237,-10%,17,2,Below,Close to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,6604,obfuscated_52,obfuscated_52,TAS,7010,,,,,,,,-42.876215,147.319525,Government,Secondary,School Single Entity,Individual Reporting,https://education.tas.edu.au/cosgrovehigh/Pages/Home.aspx,7-Oct,Inner Regional,Yes,849,77,18,5,1,23,20.5,16,12.6,199,106,93,198.4,-13%,18,18,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6608,obfuscated_53,obfuscated_53,TAS,7117,,,,,,,,-42.875405,147.367494,Government,Combined,School Single Entity,Individual Reporting,https://education.tas.edu.au/doverdistricthigh/Pages/Home.aspx,K-12,Outer Regional,,938,46,24,19,11,12,9.5,11,6.3,79,26,53,77.4,-24%,18,0,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6609,obfuscated_54,obfuscated_54,TAS,7116,,,,,,,,-42.87507847,147.2990696,Government,Primary,School Single Entity,Individual Reporting,https://education.tas.edu.au/geevestonprimary/SitePages/Home.aspx,K-6,Outer Regional,,903,46,27,17,10,10,6,9,6.6,69,32,37,62.2,6%,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6610,obfuscated_55,obfuscated_55,TAS,7109,Greater Hobart,Greater Hobart,Hobart,40,38,40,38,-42.87254263,147.3226832,Government,Secondary,School Single Entity,Individual Reporting,http://www.schools.education.tas.gov.au/huonvillehigh,7-Dec,Outer Regional,Yes,906,57,27,13,4,41,34.6,21,16.8,420,194,226,413.5,-9%,20,1,Below,Below,,,,,,,,,,,,,,,,,,1,C2017,2,C2018,3,Yes,Yes,,Charlie Williams,,,
56,6611,obfuscated_56,obfuscated_56,TAS,7019,,,,,,,,-42.87227607,147.3701106,Government,Secondary,School Single Entity,Individual Reporting,http://education.tas.edu.au/rokebyhigh,7-Dec,Inner Regional,Yes,858,75,18,6,1,20,17.5,14,12.1,219,106,113,209.4,25%,25,0,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6614,obfuscated_57,obfuscated_57,TAS,7030,,,,,,,,-42.871256,147.371473,Government,Combined,School Single Entity,Individual Reporting,http://education.tas.edu.au/bothwelldistricthigh/,K-10,Outer Regional,,895,64,22,10,3,10,8.2,7,5,65,31,34,62.2,-16%,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6615,obfuscated_58,obfuscated_58,TAS,7304,,,,,,,,-42.86932994,147.3653363,Government,Secondary,School Single Entity,Individual Reporting,http://education.tas.edu.au/delorainehigh/SitePages/Home.aspx,7-Dec,Outer Regional,Yes,939,49,29,15,7,23,20.8,20,12.8,243,128,115,241,2%,12,1,Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6616,obfuscated_59,obfuscated_59,TAS,7140,,,,,,,,-42.869285,147.313375,Government,Combined,School Single Entity,Individual Reporting,https://education.tas.edu.au/glenoradistricthigh/Pages/Home.aspx,K-12,Outer Regional,,888,68,26,6,1,17,16.8,18,12.3,192,97,95,188.4,-3%,15,2,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6618,obfuscated_60,obfuscated_60,TAS,7140,Greater Hobart,Greater Hobart,Hobart,37,35,37,35,-42.865543,147.290159,Government,Secondary,School Single Entity,Individual Reporting,http://education.tas.edu.au/newnorfolkhigh/Pages/Home.aspx,7-Dec,Inner Regional,Yes,877,75,21,4,0,26,25.7,17,13.9,277,134,143,275.1,-1%,14,1,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,2,C2017,2,C2018,4,Yes,Yes,Yes,Charlie Williams,,,
61,6619,obfuscated_61,obfuscated_61,TAS,7120,Greater Hobart,Greater Hobart,Hobart,84,63,84,63,-42.86449013,147.3522335,Government,Combined,School Single Entity,Individual Reporting,http://education.tas.edu.au/oatlandsdistricthigh/Pages/Home.aspx,K-11,Outer Regional,Yes,900,70,21,8,2,27,23,25,13.9,253,125,128,246.8,-6%,9,1,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,2,C2017,,,2,Yes,Yes,,Charlie Williams,,,
62,6620,obfuscated_62,obfuscated_62,TAS,7140,,,,,,,,-42.86218,147.304645,Government,Primary,School Single Entity,Individual Reporting,http://education.tas.edu.au/ousedistrict/SitePages/Home.aspx,K-6,Outer Regional,,981,18,42,14,26,3,2.4,4,3.1,13,5,8,13,-32%,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6621,obfuscated_63,obfuscated_63,TAS,7470,,,,,,,,-42.86154099,147.3589167,Government,Combined,School Single Entity,Individual Reporting,http://www.rosebery.tased.edu.au/,K-12,Remote,,907,63,20,12,5,10,10,14,8.2,66,31,35,64,-24%,12,5,Substantially Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6622,obfuscated_64,obfuscated_64,TAS,7216,,,,,,,,-42.86122275,147.382622,Government,Combined,School Single Entity,Individual Reporting,https://education.tas.edu.au/sthelensdistricthigh/Pages/default.aspx,K-12,Outer Regional,Yes,963,40,29,21,10,47,38.4,31,21.5,497,234,263,479.6,-7%,10,1,Close to,Close to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6623,obfuscated_65,obfuscated_65,TAS,7215,,,,,,,,-42.860997,147.289568,Government,Combined,School Single Entity,Individual Reporting,https://education.tas.edu.au/stmarysdistrict/,K-12,Outer Regional,Yes,936,52,26,16,6,33,27.2,22,15.5,324,146,178,305,-1%,8,0,Substantially Below,Close to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6624,obfuscated_66,obfuscated_66,TAS,7190,,,,,,,,-42.85748163,147.3000124,Government,Combined,School Single Entity,Individual Reporting,http://education.tas.edu.au/triabunna/SitePages/Home.aspx,K-10,Outer Regional,Yes,878,70,22,7,1,20,16.1,12,8.1,167,81,86,164.2,-1%,19,2,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6777,obfuscated_67,obfuscated_67,TAS,7320,North West,Devonport,Devonport,50,38,325,228,-42.857456,147.400625,Government,Secondary,School Single Entity,Individual Reporting,http://burniehigh.tas.edu.au,7-Nov,Outer Regional,Yes,951,43,34,16,7,40,36.3,19,15.6,536,267,269,535.4,0%,12,1,Close to,Close to,,,,,,,,,,,,,,,,,,1,C2017,1,C2018,2,Yes,Yes,,Ani Havlat,,,
68,6778,obfuscated_68,obfuscated_68,TAS,7210,,,,,,,,-42.85444367,147.3004693,Government,Combined,School Single Entity,Individual Reporting,http://education.tas.edu.au/campbelltowndistricthigh/Pages/default.aspx,K-12,Outer Regional,Yes,891,68,19,10,3,24,19.4,17,11.5,207,93,114,194.4,-3%,13,1,Substantially Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6779,obfuscated_69,obfuscated_69,TAS,7302,,,,,,,,-42.853786,147.28761,Government,Combined,School Single Entity,Individual Reporting,http://www.cressy.tased.edu.au/,K-11,Outer Regional,Yes,947,52,29,14,6,27,24.6,18,12.6,299,142,157,294.1,-11%,4,0,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6780,obfuscated_70,obfuscated_70,TAS,7177,,,,,,,,-42.85201252,147.3637244,Government,Primary,School Single Entity,Individual Reporting,https://education.tas.edu.au/dunalleyprimary,K-6,Outer Regional,,966,36,30,24,11,9,7.6,11,7.4,88,42,46,82.8,-22%,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6781,obfuscated_71,obfuscated_71,TAS,7275,,,,,,,,-42.851645,147.383845,Government,Secondary,School Single Entity,Individual Reporting,http://education.tas.edu.au/exeterhigh/default.aspx,7-Oct,Outer Regional,Yes,954,50,29,16,6,29,25,19,15.4,304,151,153,302.4,-11%,6,2,Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6783,obfuscated_72,obfuscated_72,TAS,7256,,,,,,,,-42.850937,147.302611,Government,Combined,School Single Entity,Individual Reporting,http://www.kingisland.tased.edu.au,K-10,Very Remote,,971,36,32,22,10,18,14.6,16,12.2,190,93,97,182,12%,0,2,Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6784,obfuscated_73,obfuscated_73,TAS,7050,,,,,,,,-42.84870944,147.6247467,Government,Secondary,School Single Entity,Individual Reporting,http://www.kingstonhigh.tas.edu.au/,7-Oct,Inner Regional,Yes,990,31,31,22,15,58,51.3,29,21.6,716,321,395,716,-3%,9,4,Close to,Close to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
